	Name Last High Low Change %Change Volume Date
	3M	202.44	203.03	199.96	+1.77	+0.88%	2.17M	30/05	 
 	Abbott Labs	45.00	45.10	44.21	+0.29	+0.65%	8.12M	30/05	 
 	AbbVie	66.020	66.200	65.810	-0.040	-0.06%	4.80M	30/05	 
 	Accenture	123.77	123.97	122.35	+0.88	+0.72%	1.37M	30/05	 
 	Activision Blizzard	58.58	58.67	57.77	+0.30	+0.51%	5.04M	30/05	 
 	Acuity Brands	162.78	164.82	161.88	-2.09	-1.27%	902.45K	30/05	 
 	Adobe	142.41	142.56	141.50	+0.52	+0.37%	1.54M	30/05	 
 	ADP	101.53	101.66	100.54	+0.18	+0.18%	1.73M	30/05	 
 	Advance Auto Parts	132.99	135.21	132.77	-1.17	-0.87%	1.54M	30/05	 
 	Aetna	145.55	147.48	145.45	-0.02	-0.01%	1.75M	30/05	 
 	Affiliated Managers	153.02	154.25	152.80	-0.90	-0.58%	508.91K	30/05	 
 	Aflac	75.14	75.34	74.58	+0.30	+0.40%	1.53M	30/05	 
 	Agilent Technologies	60.37	60.48	59.41	+0.86	+1.45%	2.58M	30/05	 
 	AIG	64.10	64.32	63.26	+0.55	+0.87%	6.36M	30/05	 
 	Air Products&Chemicals	143.97	144.30	143.34	+0.06	+0.04%	885.21K	30/05	 
 	Akamai	47.43	47.67	47.05	+0.04	+0.08%	1.62M	30/05	 
 	Alaska Air	85.81	86.83	85.71	-0.81	-0.94%	1.41M	30/05	 
 	Albemarle	112.46	112.89	111.44	-0.40	-0.35%	772.01K	30/05	 
 	Alexion	97.78	98.60	96.84	+0.08	+0.08%	5.60M	30/05	 
 	Allegion PLC	78.46	79.35	78.25	-0.92	-1.16%	855.34K	30/05	 
 	Allergan	222.11	225.09	222.11	-1.01	-0.45%	2.94M	30/05	 
 	Alliance Data Systems	242.15	245.00	241.29	-1.89	-0.77%	609.11K	30/05	 
 	Alliant Energy	41.47	41.49	41.18	+0.11	+0.27%	1.47M	30/05	 
 	Allstate	86.00	86.42	85.99	-0.50	-0.58%	1.13M	30/05	 
 	Alphabet	996.17	997.62	991.36	+2.90	+0.29%	1.52M	30/05	 
 	Alphabet Inc C	975.88	976.20	969.49	+4.41	+0.45%	1.47M	30/05	 
 	Altria	75.07	75.19	74.32	+0.66	+0.89%	6.07M	30/05	 
 	Amazon.com	996.70	1,001.20	995.52	+0.92	+0.09%	3.26M	30/05	 
 	Ameren	56.46	56.57	55.87	+0.31	+0.55%	1.19M	30/05	 
 	American Airlines	47.96	48.58	47.79	-0.78	-1.60%	5.51M	30/05	 
 	American Electric Power	71.21	71.26	70.70	+0.34	+0.48%	2.03M	30/05	 
 	American Express	77.09	77.42	76.99	-0.37	-0.48%	2.07M	30/05	 
 	American Tower	132.12	137.12	130.80	+1.01	+0.77%	2.07M	30/05	 
 	American Water Works	77.77	78.00	77.14	+0.24	+0.31%	840.95K	30/05	 
 	Ameriprise Financial	121.10	122.47	121.10	-1.20	-0.98%	894.21K	30/05	 
 	AmerisourceBergen	91.03	91.39	90.53	+0.03	+0.03%	1.25M	30/05	 
 	Ametek	60.80	60.87	60.42	-0.07	-0.12%	732.38K	30/05	 
 	Amgen	153.85	155.37	153.56	-1.16	-0.75%	2.72M	30/05	 
 	Amphenol	74.88	74.99	74.51	+0.08	+0.11%	969.33K	30/05	 
 	Anadarko Petroleum	50.77	51.53	50.74	-1.07	-2.06%	5.09M	30/05	 
 	Analog Devices	84.80	85.17	83.00	+1.99	+2.40%	6.74M	30/05	 
 	Anthem Inc	183.32	185.00	180.85	+0.24	+0.13%	1.51M	30/05	 
 	Aon	130.71	130.95	129.62	+0.70	+0.54%	902.36K	30/05	 
 	Apache	47.56	48.14	47.25	-0.63	-1.31%	3.78M	30/05	 
 	Apartment Inv. & Manag.	42.92	43.37	42.88	-0.26	-0.60%	2.04M	30/05	 
 	Apple	153.67	154.43	153.33	+0.06	+0.04%	20.13M	30/05	 
 	Applied Materials	45.56	45.74	45.21	+0.06	+0.13%	6.59M	30/05	 
 	Archer-Daniels-Midland	42.11	42.27	42.00	-0.34	-0.80%	1.83M	30/05	 
 	Arconic Inc	27.22	27.46	26.97	-0.20	-0.73%	4.12M	30/05	 
 	Arthur J Gallagher&Co	56.97	57.15	56.55	-0.15	-0.26%	970.79K	30/05	 
 	Assurant	98.55	99.54	98.32	-0.73	-0.74%	387.78K	30/05	 
 	AT&T	38.55	38.68	38.19	+0.43	+1.13%	20.53M	30/05	 
 	Autodesk	113.16	113.66	112.26	+0.13	+0.12%	2.56M	30/05	 
 	AutoNation	39.33	39.81	39.05	+0.06	+0.15%	1.32M	30/05	 
 	AutoZone	612.98	623.97	611.52	-2.64	-0.43%	595.45K	30/05	 
 	AvalonBay	191.32	192.17	190.44	-0.01	-0.01%	811.74K	30/05	 
 	Avery Dennison	84.42	84.63	83.95	+0.13	+0.15%	321.45K	30/05	 
 	Baker Hughes	55.07	55.65	54.62	-0.38	-0.69%	2.32M	30/05	 
 	Ball	40.83	40.90	40.22	+0.24	+0.59%	2.41M	30/05	 
 	Bank of America	22.91	23.21	22.88	-0.33	-1.42%	61.31M	30/05	 
 	Bank of NY Mellon	47.10	47.28	46.84	-0.31	-0.65%	5.54M	30/05	 
 	Baxter	59.35	59.49	58.53	+0.71	+1.21%	2.56M	30/05	 
 	BB&T	42.07	42.39	41.73	-0.49	-1.15%	2.56M	30/05	 
 	Becton Dickinson	188.07	188.48	185.33	+1.59	+0.85%	1.58M	30/05	 
 	Bed Bath&Beyond	34.74	35.03	34.58	-0.11	-0.32%	1.54M	30/05	 
 	Berkshire Hathaway B	165.11	165.87	164.47	-0.58	-0.35%	3.05M	30/05	 
 	Best Buy	59.28	59.82	58.70	+0.31	+0.53%	5.33M	30/05	 
 	Biogen Inc	246.54	251.55	246.34	-4.26	-1.70%	1.37M	30/05	 
 	BlackRock	406.82	408.55	404.74	-0.20	-0.05%	746.53K	30/05	 
 	Boeing	186.88	187.42	186.19	+0.29	+0.16%	2.23M	30/05	 
 	BorgWarner	42.19	42.40	40.83	+1.34	+3.28%	3.18M	30/05	 
 	Boston Properties	120.82	121.81	120.82	-0.53	-0.44%	417.71K	30/05	 
 	Boston Scientific	27.36	27.42	27.15	+0.04	+0.15%	4.10M	30/05	 
 	Bristol-Myers Squibb	53.93	54.24	53.76	-0.04	-0.07%	7.14M	30/05	 
 	Broadcom	239.82	241.39	239.00	-1.39	-0.58%	2.94M	30/05	 
 	Brown Forman	51.46	51.92	51.10	-0.27	-0.52%	842.71K	30/05	 
 	CA	31.90	31.95	31.52	+0.08	+0.25%	1.91M	30/05	 
 	Cabot Oil&Gas	22.46	22.82	22.40	-0.50	-2.18%	3.56M	30/05	 
