date,close,volume,open,high,low
,,,,,
2017/05/26,153.61,21895020,154,154.24,153.31
2017/05/25,153.87,19217810,153.73,154.35,153.03
2017/05/24,153.34,19201820,153.84,154.17,152.67
2017/05/23,153.8,19906170,154.9,154.9,153.31
2017/05/22,153.99,22930630,154,154.58,152.91
2017/05/19,153.06,26892850,153.38,153.98,152.63
2017/05/18,152.54,33520150,151.27,153.34,151.13
2017/05/17,150.25,50674280,153.6,154.57,149.71
2017/05/16,155.47,19994270,155.94,156.06,154.72
2017/05/15,155.7,25912270,156.01,156.65,155.05
2017/05/12,156.1,32493770,154.7,156.42,154.67
2017/05/11,153.95,27236290,152.45,154.07,152.31
2017/05/10,153.26,25779060,153.63,153.94,152.11
2017/05/09,153.99,38907940,153.87,154.88,153.45
2017/05/08,153.01,48670440,149.03,153.7,149.03
2017/05/05,148.96,27254850,146.76,148.98,146.76
2017/05/04,146.53,23345970,146.52,147.14,145.81
2017/05/03,147.06,45579740,145.59,147.49,144.27
2017/05/02,147.51,44182930,147.54,148.09,146.84
2017/05/01,146.58,33498270,145.1,147.2,144.96
2017/04/28,143.65,20783460,144.09,144.3,143.27
2017/04/27,143.79,14198660,143.923,144.16,143.31
2017/04/26,143.68,19998050,144.47,144.6,143.3762
2017/04/25,144.53,18325720,143.91,144.9,143.87
2017/04/24,143.64,17117710,143.5,143.95,143.18
2017/04/21,142.27,17290900,142.44,142.68,141.85
2017/04/20,142.44,23294040,141.22,142.92,141.16
2017/04/19,140.68,17302160,141.88,142,140.45
2017/04/18,141.2,14676420,141.41,142.04,141.11
2017/04/17,141.83,16529130,141.48,141.88,140.87
2017/04/13,141.05,17775510,141.91,142.38,141.05
2017/04/12,141.8,20320420,141.6,142.15,141.01
2017/04/11,141.63,30341520,142.94,143.35,140.06
2017/04/10,143.17,18904680,143.6,143.8792,142.9
2017/04/07,143.34,16658660,143.73,144.18,143.27
2017/04/06,143.66,21131040,144.29,144.52,143.45
2017/04/05,144.02,27649500,144.22,145.46,143.81
2017/04/04,144.77,19865300,143.25,144.89,143.17
2017/04/03,143.7,19970040,143.71,144.12,143.05
2017/03/31,143.66,19576480,143.72,144.27,143.01
2017/03/30,143.93,21189000,144.19,144.5,143.5
2017/03/29,144.12,29174040,143.68,144.49,143.19
